#,CVE_ENTIDAD,ENTIDAD,CU_MUNICIPIO,MUNICIPIO,DF,DL,SECCION,LISTA_NOMINAL,VOTOS_EMITIDOS,PARTICIPACION,ABSTENCION,1ER_LUGAR,1ERO_VOTOS,PCN,DIF_VOTOS_2DO,DIF_PCN_2DO,2DO_LUGAR,2DO_VOTOS,PCN,DIF_VOTOS_3RO,DIF_PCN_3RO,3ER_LUGAR,3RO_VOTOS,PCN,1PP_MV,VOTOS,PCN,DIF_2DO,PCN,2PP_MV,VOTOS,PCN,DIF_3RO,PCN,3PP_MV,VOTOS,PCN,PAN,PCN,PRI,PCN,PRD,PCN,PVEM,PCN,PT,PCN,MC,PCN,NA,PCN,MORENA,PCN,ES,PCN,CQ,PCN,QI,PCN,MORENA-PT-PES,PCN,P_MORENA-PT,PCN,P_MORENA-PES,PCN,P_PT-PES,PCN,PRI-PVEM,PCN,CC_PAN-PRD-MC,PCN,P_PAN-PRD,PCN,P_PAN-MC,PCN,P_PRD-MC,PCN,CC2_PAN-PRD,PCN,OSM,PCN,JAAG,PCN,PTVF,PCN,ERA,PCN,NSS,PCN,MFELF,PCN,EHR,PCN,CNR,PCN,NULOS,PCN,TOT_VOTOS,VALIDACION
21,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,21,585,428,0.73,0.27,PAN,142,0.33,7,0.02,PRI,135,0.32,94,0.22,MORENA,41,0.10,PAN,142,0.33,7,0.02,PRI,135,0.32,94,0.22,MORENA,41,0.07,142,0.33,135,0.32,7,0.02,12,0.03,2,0.00,5,0.01,25,0.06,41,0.10,10,0.02,4,0,7,0.02,0,0.00,0,0.00,0,0.00,0,0.00,16,0.04,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,22,0.05,428,100.00%
22,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,22,"1,898","1,282",0.68,0.32,PAN,636,0.50,354,0.28,PRI,282,0.22,152,0.12,MORENA,130,0.10,PAN,636,0.50,354,0.28,PRI,282,0.22,152,0.12,MORENA,130,0.30,636,0.50,282,0.22,14,0.01,38,0.03,19,0.01,9,0.01,20,0.02,130,0.10,4,0.00,2,0,14,0.01,3,0.00,1,0.00,4,0.00,0,0.00,28,0.02,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,1,0.00,77,0.06,"1,281",100.00%
23,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,23,"1,897","1,342",0.71,0.29,PAN,555,0.41,86,0.06,PRI,469,0.35,379,0.28,MORENA,90,0.07,PAN,555,0.41,86,0.06,PRI,469,0.35,379,0.28,MORENA,90,0.07,555,0.41,469,0.35,19,0.01,36,0.03,10,0.01,16,0.01,14,0.01,90,0.07,9,0.01,7,0,24,0.02,2,0.00,2,0.00,1,0.00,5,0.00,35,0.03,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,1,0.00,47,0.04,"1,340",100.00%
24,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,24,"2,093","1,647",0.79,0.21,PAN,760,0.46,313,0.19,PRI,447,0.27,334,0.20,NULOS,113,0.07,PAN,760,0.46,313,0.19,PRI,447,0.27,334,0.20,NULOS,113,0.08,760,0.46,447,0.27,15,0.01,25,0.02,18,0.01,20,0.01,3,0.00,100,0.06,11,0.01,50,0,30,0.02,8,0.00,1,0.00,1,0.00,1,0.00,44,0.03,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,113,0.07,"1,646",100.00%
25,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,25,"1,436","1,037",0.72,0.28,PAN,457,0.44,106,0.10,PRI,351,0.34,290,0.28,MORENA,61,0.06,PAN,457,0.44,106,0.10,PRI,351,0.34,290,0.28,MORENA,61,0.04,457,0.44,351,0.34,10,0.01,26,0.03,8,0.01,8,0.01,11,0.01,61,0.06,8,0.01,4,0,13,0.01,1,0.00,0,0.00,0,0.00,0,0.00,27,0.03,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,52,0.05,"1,037",100.00%
26,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,26,"1,361",953,0.70,0.30,PAN,580,0.61,386,0.41,PRI,194,0.20,137,0.14,NULOS,57,0.06,PAN,580,0.61,386,0.41,PRI,194,0.20,137,0.14,NULOS,57,0.05,580,0.61,194,0.20,9,0.01,15,0.02,4,0.00,4,0.00,7,0.01,51,0.05,8,0.01,3,0,8,0.01,3,0.00,0,0.00,0,0.00,0,0.00,9,0.01,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,1,0.00,57,0.06,953,100.00%
27,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,27,992,683,0.69,0.31,PAN,334,0.49,168,0.25,PRI,166,0.24,118,0.17,MORENA,48,0.07,PAN,334,0.49,168,0.25,PRI,166,0.24,118,0.17,MORENA,48,0.05,334,0.49,166,0.24,5,0.01,12,0.02,5,0.01,1,0.00,2,0.00,48,0.07,8,0.01,0,0,33,0.05,0,0.00,0,0.00,1,0.00,0,0.00,25,0.04,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,43,0.06,683,100.00%
28,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,28,849,576,0.68,0.32,PAN,322,0.56,167,0.29,PRI,155,0.27,129,0.22,MORENA,26,0.05,PAN,322,0.56,167,0.29,PRI,155,0.27,129,0.22,MORENA,26,0.04,322,0.56,155,0.27,5,0.01,12,0.02,4,0.01,6,0.01,3,0.01,26,0.05,4,0.01,3,0,4,0.01,0,0.00,0,0.00,0,0.00,0,0.00,10,0.02,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,22,0.04,576,100.00%
29,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,29,866,570,0.66,0.34,PAN,255,0.45,100,0.18,PRI,155,0.27,106,0.19,NULOS,49,0.09,PAN,255,0.45,100,0.18,PRI,155,0.27,106,0.19,NULOS,49,0.09,255,0.45,155,0.27,4,0.01,12,0.02,11,0.02,1,0.00,5,0.01,42,0.07,8,0.01,1,0,9,0.02,2,0.00,0,0.00,0,0.00,0,0.00,15,0.03,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,1,0.00,49,0.09,570,100.00%
30,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,30,"1,210",872,0.72,0.28,PAN,484,0.56,286,0.33,PRI,198,0.23,141,0.16,MORENA,57,0.07,PAN,484,0.56,286,0.33,PRI,198,0.23,141,0.16,MORENA,57,0.10,484,0.56,198,0.23,3,0.00,17,0.02,3,0.00,9,0.01,16,0.02,57,0.07,5,0.01,0,0,26,0.03,0,0.00,2,0.00,0,0.00,0,0.00,18,0.02,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,1,0.00,33,0.04,870,100.00%
