#,CVE_ENTIDAD,ENTIDAD,CU_MUNICIPIO,MUNICIPIO,DF,DL,SECCION,LISTA_NOMINAL,VOTOS_EMITIDOS,PARTICIPACION,ABSTENCION,1ER_LUGAR,1ERO_VOTOS,PCN,DIF_VOTOS_2DO,DIF_PCN_2DO,2DO_LUGAR,2DO_VOTOS,PCN,DIF_VOTOS_3RO,DIF_PCN_3RO,3ER_LUGAR,3RO_VOTOS,PCN,1PP_MV,VOTOS,PCN,DIF_2DO,PCN,2PP_MV,VOTOS,PCN,DIF_3RO,PCN,3PP_MV,VOTOS,PCN,PAN,PCN,PRI,PCN,PRD,PCN,MC,PCN,PVEM,PCN,MORENA,PCN,PT,PCN,QI,PCN,PES,PCN,RSP,PCN,FM,PCN,EAMA,PCN,ASE,PCN,PAN_QI,PCN,PRI_PVEM,PCN,PVEM-PT,PCN,CNR,PCN,NULOS,PCN,TOT_VOTOS,VALIDACION
28,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,29,939,564,0.60,0.40,PAN,236,0.42,100,0.18,PRI,136,0.24,14,0.02,MORENA,122,0.22,PAN,236,0.42,100,0.18,PRI,136,0.24,14,0.02,MORENA,122,0.21,236,0.42,136,0.24,0,0.00,4,0.01,7,0.01,122,0.22,3,0.01,3,0.01,1,0.00,13,0.02,4,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,35,0.06,564,100.00%
29,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,30,"1,289",903,0.70,0.30,PAN,406,0.45,119,0.13,PRI,287,0.32,161,0.18,MORENA,126,0.14,PAN,406,0.45,119,0.13,PRI,287,0.32,161,0.18,MORENA,126,0.22,406,0.45,287,0.32,3,0.00,6,0.01,9,0.01,126,0.14,1,0.00,1,0.00,7,0.01,7,0.01,17,0.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,33,0.04,903,100.00%
30,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,31,822,466,0.57,0.43,PAN,191,0.41,61,0.13,PRI,130,0.28,37,0.08,MORENA,93,0.20,PAN,191,0.41,61,0.13,PRI,130,0.28,37,0.08,MORENA,93,0.10,191,0.41,130,0.28,4,0.01,4,0.01,6,0.01,93,0.20,2,0.00,4,0.01,2,0.00,7,0.02,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,21,0.05,466,100.00%
31,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,32,"1,259",708,0.56,0.44,PAN,270,0.38,88,0.12,PRI,182,0.26,10,0.01,MORENA,172,0.24,PAN,270,0.38,88,0.12,PRI,182,0.26,10,0.01,MORENA,172,0.37,270,0.38,182,0.26,4,0.01,2,0.00,7,0.01,172,0.24,1,0.00,5,0.01,6,0.01,10,0.01,11,0.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,38,0.05,708,100.00%
32,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,33,"2,306","1,347",0.58,0.42,PAN,485,0.36,27,0.02,PRI,458,0.34,207,0.15,MORENA,251,0.19,PAN,485,0.36,27,0.02,PRI,458,0.34,207,0.15,MORENA,251,0.35,485,0.36,458,0.34,10,0.01,18,0.01,12,0.01,251,0.19,11,0.01,2,0.00,10,0.01,16,0.01,6,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,68,0.05,"1,347",100.00%
33,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,34,676,499,0.74,0.26,PRI,302,0.61,162,0.32,PAN,140,0.28,114,0.23,MORENA,26,0.05,PRI,302,0.61,162,0.32,PAN,140,0.28,114,0.23,MORENA,26,0.02,140,0.28,302,0.61,1,0.00,6,0.01,5,0.01,26,0.05,1,0.00,0,0.00,1,0.00,3,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,14,0.03,499,100.00%
34,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,904,"1,002",663,0.66,0.34,MORENA,329,0.50,187,0.28,PAN,142,0.21,51,0.08,PRI,91,0.14,MORENA,329,0.50,187,0.28,PAN,142,0.21,51,0.08,PRI,91,0.18,142,0.21,91,0.14,6,0.01,6,0.01,10,0.02,329,0.50,6,0.01,0,0.00,6,0.01,11,0.02,34,0.05,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,22,0.03,663,100.00%
35,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,905,"3,175","1,801",0.57,0.43,MORENA,858,0.48,410,0.23,PAN,448,0.25,147,0.08,PRI,301,0.17,MORENA,858,0.48,410,0.23,PAN,448,0.25,147,0.08,PRI,301,0.45,448,0.25,301,0.17,18,0.01,31,0.02,26,0.01,858,0.48,15,0.01,4,0.00,11,0.01,9,0.00,22,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,58,0.03,"1,801",100.00%
36,22,QUERETARO,2,ARROYO SECO,1,15,35,"1,807","1,262",0.70,0.30,PRI,407,0.32,58,0.05,PAN,349,0.28,61,0.05,MORENA,288,0.23,PRI,407,0.32,58,0.05,PAN,349,0.28,61,0.05,MORENA,288,0.16,349,0.28,407,0.32,6,0.00,20,0.02,44,0.03,288,0.23,21,0.02,7,0.01,4,0.00,14,0.01,5,0.00,0,0.00,0,0.00,10,0.01,34,0.03,0,0.00,2,0.00,51,0.04,"1,262",100.00%
37,22,QUERETARO,2,ARROYO SECO,1,15,36,765,503,0.66,0.34,PAN,186,0.37,52,0.10,PRI,134,0.27,9,0.02,MORENA,125,0.25,PAN,186,0.37,52,0.10,PRI,134,0.27,9,0.02,MORENA,125,0.10,186,0.37,134,0.27,1,0.00,2,0.00,6,0.01,125,0.25,1,0.00,2,0.00,5,0.01,0,0.00,0,0.00,0,0.00,0,0.00,5,0.01,10,0.02,0,0.00,0,0.00,26,0.05,503,100.00%
